DATE,TIME,OPEN,HIGH,LOW,CLOSE,TICKVOL,VOL,SPREAD,plus_7_tokyoTime
2020.09.23,21:00:00,23312,23312,23267,23272,364,0,7,04:00:00
2020.09.23,21:30:00,23271,23302,23232,23242,497,0,7,04:30:00
2020.09.23,22:00:00,23242,23262,23222,23257,655,0,7,05:00:00
2020.09.24,21:00:00,23216,23221,23161,23176,273,0,7,04:00:00
2020.09.24,21:30:00,23176,23196,23111,23114,301,0,7,04:30:00
2020.09.24,22:00:00,23114,23146,23076,23096,386,0,6,05:00:00
2020.09.25,21:00:00,23186,23211,23186,23206,105,0,7,04:00:00
2020.09.25,21:30:00,23206,23221,23196,23216,140,0,6,04:30:00
2020.09.25,22:00:00,23216,23266,23216,23251,157,0,7,05:00:00
2020.09.28,21:00:00,23512,23517,23502,23507,99,0,7,04:00:00
2020.09.28,21:30:00,23507,23515,23502,23512,86,0,9,04:30:00
2020.09.28,22:00:00,23512,23512,23497,23507,155,0,7,05:00:00
2020.09.29,21:00:00,23473,23483,23463,23478,166,0,7,04:00:00
2020.09.29,21:30:00,23478,23488,23453,23453,199,0,7,04:30:00
2020.09.29,22:00:00,23453,23473,23448,23458,250,0,7,05:00:00
2020.09.30,21:00:00,23348,23373,23303,23336,422,0,3,04:00:00
2020.09.30,21:30:00,23333,23338,23283,23313,684,0,7,04:30:00
2020.09.30,22:00:00,23313,23323,23223,23273,671,0,7,05:00:00
2020.10.01,21:00:00,23282,23307,23262,23302,475,0,3,04:00:00
2020.10.01,21:30:00,23302,23312,23297,23307,306,0,3,04:30:00
2020.10.01,22:00:00,23307,23317,23287,23292,174,0,3,05:00:00
2020.10.02,21:00:00,23147,23182,23147,23167,235,0,3,04:00:00
2020.10.02,21:30:00,23167,23177,23152,23167,372,0,3,04:30:00
2020.10.02,22:00:00,23167,23182,23133,23157,443,0,3,05:00:00
2020.10.05,21:00:00,23332,23347,23327,23337,60,0,3,04:00:00
2020.10.05,21:30:00,23337,23367,23337,23367,92,0,4,04:30:00
2020.10.05,22:00:00,23367,23402,23362,23402,132,0,4,05:00:00
2020.10.06,21:00:00,23392,23412,23392,23407,172,0,3,04:00:00
2020.10.06,21:30:00,23407,23427,23237,23292,917,0,3,04:30:00
2020.10.06,22:00:00,23292,23297,23217,23287,1482,0,3,05:00:00
2020.10.07,21:00:00,23457,23477,23437,23472,192,0,3,04:00:00
2020.10.07,21:30:00,23472,23487,23462,23482,99,0,3,04:30:00
2020.10.07,22:00:00,23482,23492,23473,23492,167,0,4,05:00:00
2020.10.08,21:00:00,23607,23627,23602,23622,81,0,3,04:00:00
2020.10.08,21:30:00,23622,23627,23617,23622,78,0,4,04:30:00
2020.10.08,22:00:00,23622,23622,23597,23602,157,0,3,05:00:00
