DATE,TIME,OPEN,HIGH,LOW,CLOSE,TICKVOL,VOL,SPREAD,plus_7_tokyoTime
2020.09.23,15:30:00,23342,23352,23332,23342,194,0,7,22:30:00
2020.09.23,16:00:00,23342,23352,23332,23342,158,0,7,23:00:00
2020.09.23,16:30:00,23342,23352,23310,23312,522,0,7,23:30:00
2020.09.24,15:30:00,23096,23096,23046,23066,427,0,6,22:30:00
2020.09.24,16:00:00,23066,23069,23031,23061,310,0,6,23:00:00
2020.09.24,16:30:00,23061,23121,23006,23096,563,0,6,23:30:00
2020.09.25,15:30:00,23066,23096,23051,23091,259,0,6,22:30:00
2020.09.25,16:00:00,23091,23099,23061,23066,213,0,4,23:00:00
2020.09.25,16:30:00,23066,23109,23046,23091,778,0,6,23:30:00
2020.09.28,15:30:00,23487,23497,23487,23487,112,0,7,22:30:00
2020.09.28,16:00:00,23487,23495,23472,23480,127,0,7,23:00:00
2020.09.28,16:30:00,23477,23497,23447,23461,491,0,7,23:30:00
2020.09.29,15:30:00,23488,23498,23473,23488,139,0,7,22:30:00
2020.09.29,16:00:00,23488,23498,23468,23473,120,0,7,23:00:00
2020.09.29,16:30:00,23468,23503,23458,23463,238,0,7,23:30:00
2020.09.30,15:30:00,23248,23293,23248,23273,375,0,7,22:30:00
2020.09.30,16:00:00,23273,23298,23263,23278,321,0,7,23:00:00
2020.09.30,16:30:00,23278,23333,23278,23323,577,0,7,23:30:00
2020.10.01,15:30:00,23322,23342,23308,23317,226,0,3,22:30:00
2020.10.01,16:00:00,23317,23328,23297,23312,313,0,3,23:00:00
2020.10.01,16:30:00,23313,23332,23292,23297,533,0,3,23:30:00
2020.10.02,15:30:00,23042,23042,22998,23017,334,0,3,22:30:00
2020.10.02,16:00:00,23017,23017,22983,23012,278,0,3,23:00:00
2020.10.02,16:30:00,23012,23127,23002,23107,653,0,3,23:30:00
2020.10.05,15:30:00,23297,23307,23297,23307,158,0,4,22:30:00
2020.10.05,16:00:00,23307,23312,23302,23307,143,0,4,23:00:00
2020.10.05,16:30:00,23307,23332,23303,23312,425,0,3,23:30:00
2020.10.06,15:30:00,23397,23413,23392,23412,201,0,3,22:30:00
2020.10.06,16:00:00,23412,23422,23407,23407,191,0,3,23:00:00
2020.10.06,16:30:00,23407,23412,23373,23382,330,0,3,23:30:00
2020.10.07,15:30:00,23432,23442,23427,23432,112,0,4,22:30:00
2020.10.07,16:00:00,23432,23433,23422,23427,136,0,3,23:00:00
2020.10.07,16:30:00,23427,23447,23427,23432,336,0,3,23:30:00
2020.10.08,15:30:00,23657,23657,23633,23652,184,0,3,22:30:00
2020.10.08,16:00:00,23652,23668,23646,23657,108,0,4,23:00:00
2020.10.08,16:30:00,23657,23672,23637,23667,254,0,3,23:30:00
2020.10.09,15:30:00,23587,23602,23582,23597,90,0,4,22:30:00
2020.10.09,16:00:00,23597,23607,23592,23592,87,0,4,23:00:00
2020.10.09,16:30:00,23592,23602,23572,23582,194,0,3,23:30:00
2020.10.12,15:30:00,23562,23572,23562,23562,78,0,4,22:30:00
2020.10.12,16:00:00,23562,23562,23547,23547,154,0,3,23:00:00
2020.10.12,16:30:00,23547,23547,23528,23532,366,0,3,23:30:00
2020.10.13,15:30:00,23558,23563,23533,23543,131,0,3,22:30:00
2020.10.13,16:00:00,23543,23543,23523,23538,181,0,3,23:00:00
2020.10.13,16:30:00,23538,23543,23508,23528,483,0,3,23:30:00
2020.10.14,15:30:00,23593,23598,23583,23593,300,0,3,22:30:00
2020.10.14,16:00:00,23596,23603,23583,23588,198,0,3,23:00:00
2020.10.14,16:30:00,23588,23623,23588,23618,300,0,3,23:30:00
2020.10.15,15:30:00,23382,23382,23367,23367,378,0,3,22:30:00
2020.10.15,16:00:00,23367,23377,23363,23367,155,0,3,23:00:00
2020.10.15,16:30:00,23367,23412,23367,23407,401,0,3,23:30:00
2020.10.16,15:30:00,23446,23472,23438,23467,195,0,3,22:30:00
2020.10.16,16:00:00,23467,23472,23448,23467,233,0,3,23:00:00
2020.10.16,16:30:00,23467,23487,23453,23477,509,0,3,23:30:00
2020.10.19,15:30:00,23637,23642,23617,23627,157,0,3,22:30:00
2020.10.19,16:00:00,23623,23637,23623,23632,111,0,3,23:00:00
