DATE,TIME,OPEN,HIGH,LOW,CLOSE,TICKVOL,VOL,SPREAD,plus_7_tokyoTime
2020.09.23,20:00:00,23347,23347,23322,23322,175,0,7,03:00:00
2020.09.23,20:30:00,23325,23337,23292,23312,287,0,7,03:30:00
2020.09.23,21:00:00,23312,23312,23267,23272,364,0,7,04:00:00
2020.09.24,20:00:00,23171,23236,23166,23226,294,0,6,03:00:00
2020.09.24,20:30:00,23226,23246,23211,23216,305,0,6,03:30:00
2020.09.24,21:00:00,23216,23221,23161,23176,273,0,7,04:00:00
2020.09.25,20:00:00,23161,23181,23156,23176,209,0,6,03:00:00
2020.09.25,20:30:00,23176,23186,23171,23186,190,0,6,03:30:00
2020.09.25,21:00:00,23186,23211,23186,23206,105,0,7,04:00:00
2020.09.28,20:00:00,23506,23507,23492,23497,109,0,7,03:00:00
2020.09.28,20:30:00,23497,23512,23497,23512,90,0,7,03:30:00
2020.09.28,21:00:00,23512,23517,23502,23507,99,0,7,04:00:00
2020.09.29,20:00:00,23463,23466,23428,23463,198,0,7,03:00:00
2020.09.29,20:30:00,23463,23478,23458,23473,162,0,7,03:30:00
2020.09.29,21:00:00,23473,23483,23463,23478,166,0,7,04:00:00
2020.09.30,20:00:00,23338,23338,23308,23328,176,0,7,03:00:00
2020.09.30,20:30:00,23328,23348,23323,23348,168,0,7,03:30:00
2020.09.30,21:00:00,23348,23373,23303,23336,422,0,3,04:00:00
2020.10.01,20:00:00,23302,23322,23297,23302,212,0,3,03:00:00
2020.10.01,20:30:00,23302,23317,23272,23282,226,0,3,03:30:00
2020.10.01,21:00:00,23282,23307,23262,23302,475,0,3,04:00:00
2020.10.02,20:00:00,23162,23172,23152,23162,346,0,3,03:00:00
2020.10.02,20:30:00,23162,23167,23132,23152,457,0,3,03:30:00
2020.10.02,21:00:00,23147,23182,23147,23167,235,0,3,04:00:00
2020.10.05,20:00:00,23357,23362,23337,23347,53,0,4,03:00:00
2020.10.05,20:30:00,23347,23352,23332,23332,100,0,3,03:30:00
2020.10.05,21:00:00,23332,23347,23327,23337,60,0,3,04:00:00
2020.10.06,20:00:00,23397,23412,23392,23392,115,0,3,03:00:00
2020.10.06,20:30:00,23392,23397,23387,23392,98,0,3,03:30:00
2020.10.06,21:00:00,23392,23412,23392,23407,172,0,3,04:00:00
2020.10.07,20:00:00,23442,23447,23437,23437,145,0,4,03:00:00
2020.10.07,20:30:00,23437,23467,23437,23457,118,0,3,03:30:00
2020.10.07,21:00:00,23457,23477,23437,23472,192,0,3,04:00:00
2020.10.08,20:00:00,23627,23627,23602,23607,92,0,4,03:00:00
2020.10.08,20:30:00,23607,23617,23607,23607,92,0,3,03:30:00
2020.10.08,21:00:00,23607,23627,23602,23622,81,0,3,04:00:00
2020.10.09,20:00:00,23572,23582,23567,23577,78,0,4,03:00:00
