DATE,TIME,OPEN,HIGH,LOW,CLOSE,TICKVOL,VOL,SPREAD,plus_7_tokyoTime
2020.09.24,12:30:00,23101,23116,23086,23106,261,0,6,19:30:00
2020.09.24,13:00:00,23106,23156,23104,23146,306,0,6,20:00:00
2020.09.24,13:30:00,23146,23169,23131,23156,281,0,6,20:30:00
2020.09.25,12:30:00,23111,23111,23056,23101,368,0,6,19:30:00
2020.09.25,13:00:00,23101,23106,23036,23041,364,0,6,20:00:00
2020.09.25,13:30:00,23041,23061,23006,23011,393,0,6,20:30:00
2020.09.28,12:30:00,23442,23457,23437,23442,258,0,7,19:30:00
2020.09.28,13:00:00,23442,23492,23437,23477,289,0,7,20:00:00
2020.09.28,13:30:00,23482,23487,23457,23472,269,0,7,20:30:00
2020.09.29,12:30:00,23433,23483,23418,23473,198,0,7,19:30:00
2020.09.29,13:00:00,23473,23508,23463,23503,189,0,7,20:00:00
2020.09.29,13:30:00,23503,23503,23468,23478,212,0,7,20:30:00
2020.09.30,12:30:00,23178,23223,23173,23218,437,0,7,19:30:00
2020.09.30,13:00:00,23218,23218,23178,23213,515,0,7,20:00:00
2020.09.30,13:30:00,23211,23258,23211,23233,309,0,7,20:30:00
2020.10.01,12:30:00,23317,23327,23302,23317,136,0,3,19:30:00
2020.10.01,13:00:00,23317,23337,23302,23322,126,0,3,20:00:00
2020.10.01,13:30:00,23322,23337,23313,23327,180,0,4,20:30:00
2020.10.02,12:30:00,23032,23037,22997,23017,306,0,3,19:30:00
2020.10.02,13:00:00,23017,23017,22992,23012,239,0,3,20:00:00
2020.10.02,13:30:00,23008,23027,23007,23017,194,0,4,20:30:00
2020.10.05,12:30:00,23292,23297,23287,23292,66,0,4,19:30:00
2020.10.05,13:00:00,23292,23297,23277,23292,147,0,3,20:00:00
2020.10.05,13:30:00,23297,23302,23288,23302,159,0,4,20:30:00
2020.10.06,12:30:00,23347,23362,23347,23347,115,0,3,19:30:00
2020.10.06,13:00:00,23347,23362,23332,23357,226,0,4,20:00:00
2020.10.06,13:30:00,23352,23362,23337,23357,191,0,3,20:30:00
2020.10.07,12:30:00,23423,23443,23422,23427,184,0,3,19:30:00
2020.10.07,13:00:00,23427,23442,23422,23437,147,0,3,20:00:00
2020.10.07,13:30:00,23437,23452,23427,23447,124,0,3,20:30:00
2020.10.08,12:30:00,23628,23633,23617,23632,170,0,3,19:30:00
2020.10.08,13:00:00,23632,23652,23627,23652,166,0,3,20:00:00
2020.10.08,13:30:00,23652,23677,23637,23637,141,0,3,20:30:00
2020.10.09,12:30:00,23553,23568,23552,23567,136,0,4,19:30:00
2020.10.09,13:00:00,23567,23582,23562,23572,106,0,3,20:00:00
2020.10.09,13:30:00,23572,23577,23558,23568,137,0,4,20:30:00
2020.10.12,12:30:00,23537,23541,23527,23527,140,0,4,19:30:00
2020.10.12,13:00:00,23523,23537,23523,23537,103,0,3,20:00:00
2020.10.12,13:30:00,23537,23552,23532,23552,140,0,3,20:30:00
2020.10.13,12:30:00,23578,23583,23558,23568,160,0,3,19:30:00
2020.10.13,13:00:00,23568,23573,23558,23573,146,0,4,20:00:00
2020.10.13,13:30:00,23573,23578,23552,23558,162,0,3,20:30:00
2020.10.14,12:30:00,23613,23623,23603,23608,196,0,3,19:30:00
2020.10.14,13:00:00,23608,23613,23568,23583,301,0,3,20:00:00
2020.10.14,13:30:00,23583,23583,23563,23578,322,0,3,20:30:00
2020.10.15,12:30:00,23382,23397,23362,23392,294,0,3,19:30:00
2020.10.15,13:00:00,23392,23407,23377,23397,370,0,3,20:00:00
2020.10.15,13:30:00,23397,23407,23392,23407,121,0,3,20:30:00
2020.10.16,12:30:00,23393,23407,23382,23402,270,0,3,19:30:00
2020.10.16,13:00:00,23402,23447,23398,23447,278,0,3,20:00:00
2020.10.16,13:30:00,23447,23457,23423,23442,318,0,3,20:30:00
2020.10.19,12:30:00,23662,23667,23652,23662,188,0,3,19:30:00
2020.10.19,13:00:00,23662,23662,23647,23652,119,0,3,20:00:00
2020.10.19,13:30:00,23648,23662,23647,23662,134,0,3,20:30:00
2020.10.20,12:30:00,23577,23582,23573,23577,193,0,3,19:30:00
2020.10.20,13:00:00,23577,23592,23567,23592,267,0,3,20:00:00
2020.10.20,13:30:00,23592,23597,23587,23597,208,0,3,20:30:00
2020.10.21,12:30:00,23552,23577,23547,23572,304,0,3,19:30:00
2020.10.21,13:00:00,23572,23572,23553,23562,339,0,3,20:00:00
2020.10.21,13:30:00,23562,23577,23557,23557,186,0,3,20:30:00
2020.10.22,12:30:00,23502,23522,23502,23512,187,0,3,19:30:00
2020.10.22,13:00:00,23512,23547,23502,23537,272,0,3,20:00:00
2020.10.22,13:30:00,23537,23547,23527,23537,307,0,3,20:30:00
2020.10.23,12:30:00,23552,23562,23542,23542,189,0,3,19:30:00
2020.10.23,13:00:00,23542,23567,23538,23552,213,0,3,20:00:00
2020.10.23,13:30:00,23552,23577,23552,23562,193,0,3,20:30:00
2020.10.26,12:30:00,23462,23462,23447,23462,144,0,3,19:30:00
2020.10.26,13:00:00,23462,23477,23462,23467,95,0,3,20:00:00
2020.10.26,13:30:00,23467,23472,23452,23457,112,0,3,20:30:00
2020.10.27,12:30:00,23442,23467,23437,23462,171,0,3,19:30:00
2020.10.27,13:00:00,23462,23467,23452,23462,236,0,3,20:00:00
2020.10.27,13:30:00,23462,23467,23457,23462,77,0,3,20:30:00
2020.10.28,12:30:00,23262,23277,23247,23248,368,0,3,19:30:00
2020.10.28,13:00:00,23248,23257,23222,23233,369,0,3,20:00:00
2020.10.28,13:30:00,23237,23252,23227,23242,382,0,3,20:30:00
2020.10.29,12:30:00,23222,23252,23222,23242,307,0,8,19:30:00
2020.10.29,13:00:00,23247,23247,23212,23212,409,0,8,20:00:00
2020.10.29,13:30:00,23212,23227,23167,23172,468,0,8,20:30:00
2020.10.30,12:30:00,23042,23072,23022,23067,460,0,8,19:30:00
2020.10.30,13:00:00,23062,23107,23062,23092,539,0,8,20:00:00
2020.10.30,13:30:00,23092,23097,23067,23082,353,0,8,20:30:00
2020.11.02,12:30:00,23393,23438,23383,23418,441,0,6,19:30:00
2020.11.02,13:00:00,23418,23428,23408,23418,228,0,6,20:00:00
2020.11.02,13:30:00,23423,23433,23413,23418,279,0,6,20:30:00
2020.11.03,12:30:00,23802,23807,23757,23762,233,0,8,19:30:00
2020.11.03,13:00:00,23762,23787,23762,23762,160,0,8,20:00:00
2020.11.03,13:30:00,23762,23787,23752,23787,204,0,8,20:30:00
2020.11.04,12:30:00,23657,23722,23647,23697,513,0,8,19:30:00
2020.11.04,13:00:00,23697,23712,23647,23667,446,0,8,20:00:00
2020.11.04,13:30:00,23667,23717,23662,23692,488,0,8,20:30:00
2020.11.05,12:30:00,24247,24307,24237,24307,404,0,7,19:30:00
2020.11.05,13:00:00,24297,24372,24287,24367,451,0,8,20:00:00
2020.11.05,13:30:00,24367,24372,24327,24347,447,0,7,20:30:00
2020.11.06,12:30:00,24307,24332,24307,24312,253,0,8,19:30:00
2020.11.06,13:00:00,24312,24337,24287,24292,209,0,8,20:00:00
2020.11.06,13:30:00,24292,24307,24277,24287,226,0,8,20:30:00
2020.11.09,12:30:00,24932,24957,24922,24952,224,0,1,19:30:00
2020.11.09,13:00:00,24952,24957,24937,24942,262,0,3,20:00:00
2020.11.09,13:30:00,24942,25705,24937,25630,1965,0,1,20:30:00
2020.11.10,12:30:00,25177,25212,25136,25147,889,0,7,19:30:00
2020.11.10,13:00:00,25142,25187,25127,25177,891,0,7,20:00:00
