DATE,TIME,OPEN,HIGH,LOW,CLOSE,TICKVOL,VOL,SPREAD,plus_7_tokyoTime
2020.11.03,15:00:00,23747,23762,23722,23762,171,0,8,22:00:00
2020.11.03,15:30:00,23762,23777,23742,23742,193,0,8,22:30:00
2020.11.04,14:30:00,23742,23767,23722,23752,435,0,8,21:30:00
2020.11.04,15:00:00,23752,23772,23727,23772,578,0,8,22:00:00
2020.11.04,15:30:00,23767,23772,23742,23742,553,0,8,22:30:00
2020.11.05,14:30:00,24332,24357,24282,24316,369,0,7,21:30:00
2020.11.05,15:00:00,24316,24316,24257,24267,400,0,7,22:00:00
2020.11.05,15:30:00,24267,24302,24257,24267,463,0,8,22:30:00
2020.11.06,14:30:00,24287,24292,24267,24272,279,0,8,21:30:00
2020.11.06,15:00:00,24272,24302,24262,24297,237,0,8,22:00:00
2020.11.06,15:30:00,24297,24359,24297,24354,349,0,1,22:30:00
2020.11.09,14:30:00,25485,25656,25457,25655,1732,0,1,21:30:00
2020.11.09,15:00:00,25653,25720,25611,25691,1606,0,1,22:00:00
2020.11.09,15:30:00,25691,25896,25691,25851,1591,0,1,22:30:00
2020.11.10,14:30:00,25162,25181,25146,25152,643,0,4,21:30:00
2020.11.10,15:00:00,25152,25182,25141,25182,708,0,7,22:00:00
2020.11.10,15:30:00,25176,25196,25156,25192,835,0,4,22:30:00
2020.11.11,14:30:00,25601,25621,25601,25611,415,0,4,21:30:00
2020.11.11,15:00:00,25611,25631,25601,25626,437,0,7,22:00:00
2020.11.11,15:30:00,25626,25626,25586,25591,244,0,5,22:30:00
2020.11.12,14:30:00,25431,25432,25376,25381,511,0,3,21:30:00
2020.11.12,15:00:00,25381,25406,25377,25401,421,0,1,22:00:00
2020.11.12,15:30:00,25401,25426,25392,25422,480,0,4,22:30:00
2020.11.13,14:30:00,25450,25460,25431,25435,240,0,2,21:30:00
2020.11.13,15:00:00,25435,25450,25430,25450,304,0,5,22:00:00
2020.11.13,15:30:00,25450,25455,25390,25400,275,0,5,22:30:00
