DATE,TIME,OPEN,HIGH,LOW,CLOSE,TICKVOL,VOL,SPREAD,plus_7_tokyoTime
2020.09.23,19:00:00,23282,23317,23272,23312,367,0,7,02:00:00
2020.09.23,19:30:00,23312,23347,23307,23347,295,0,7,02:30:00
2020.09.23,20:00:00,23347,23347,23322,23322,175,0,7,03:00:00
2020.09.24,19:00:00,23156,23174,23146,23151,291,0,6,02:00:00
2020.09.24,19:30:00,23151,23171,23131,23166,216,0,6,02:30:00
2020.09.24,20:00:00,23171,23236,23166,23226,294,0,6,03:00:00
2020.09.25,19:00:00,23111,23155,23111,23141,249,0,7,02:00:00
2020.09.25,19:30:00,23141,23164,23136,23161,214,0,6,02:30:00
2020.09.25,20:00:00,23161,23181,23156,23176,209,0,6,03:00:00
2020.09.28,19:00:00,23520,23520,23487,23497,167,0,7,02:00:00
2020.09.28,19:30:00,23497,23512,23487,23502,127,0,7,02:30:00
2020.09.28,20:00:00,23506,23507,23492,23497,109,0,7,03:00:00
2020.09.29,19:00:00,23438,23458,23417,23456,349,0,7,02:00:00
2020.09.29,19:30:00,23453,23473,23453,23463,173,0,7,02:30:00
2020.09.29,20:00:00,23463,23466,23428,23463,198,0,7,03:00:00
2020.09.30,19:00:00,23328,23348,23328,23343,171,0,7,02:00:00
2020.09.30,19:30:00,23343,23348,23323,23338,199,0,7,02:30:00
2020.09.30,20:00:00,23338,23338,23308,23328,176,0,7,03:00:00
2020.10.01,19:00:00,23312,23312,23272,23312,303,0,3,02:00:00
2020.10.01,19:30:00,23312,23317,23297,23302,124,0,3,02:30:00
2020.10.01,20:00:00,23302,23322,23297,23302,212,0,3,03:00:00
2020.10.02,19:00:00,23103,23187,23087,23172,624,0,3,02:00:00
2020.10.02,19:30:00,23172,23187,23162,23162,419,0,3,02:30:00
2020.10.02,20:00:00,23162,23172,23152,23162,346,0,3,03:00:00
2020.10.05,19:00:00,23357,23358,23347,23352,116,0,4,02:00:00
2020.10.05,19:30:00,23352,23363,23352,23357,144,0,3,02:30:00
2020.10.05,20:00:00,23357,23362,23337,23347,53,0,4,03:00:00
2020.10.06,19:00:00,23362,23377,23357,23372,150,0,3,02:00:00
2020.10.06,19:30:00,23372,23397,23367,23392,86,0,4,02:30:00
2020.10.06,20:00:00,23397,23412,23392,23392,115,0,3,03:00:00
2020.10.07,19:00:00,23452,23462,23417,23427,201,0,3,02:00:00
2020.10.07,19:30:00,23427,23452,23423,23442,272,0,3,02:30:00
2020.10.07,20:00:00,23442,23447,23437,23437,145,0,4,03:00:00
