DATE,TIME,OPEN,HIGH,LOW,CLOSE,TICKVOL,VOL,SPREAD,plus_7_tokyoTime
2020.09.23,14:30:00,23347,23367,23337,23342,129,0,7,21:30:00
2020.09.24,13:30:00,23146,23169,23131,23156,281,0,6,20:30:00
2020.09.24,14:00:00,23156,23166,23131,23146,207,0,6,21:00:00
2020.09.24,14:30:00,23146,23156,23101,23106,209,0,8,21:30:00
2020.09.25,13:30:00,23041,23061,23006,23011,393,0,6,20:30:00
2020.09.25,14:00:00,23011,23046,22986,23031,464,0,6,21:00:00
2020.09.25,14:30:00,23031,23084,23026,23076,430,0,6,21:30:00
2020.09.28,13:30:00,23482,23487,23457,23472,269,0,7,20:30:00
2020.09.28,14:00:00,23472,23477,23452,23462,227,0,7,21:00:00
2020.09.28,14:30:00,23462,23487,23462,23482,154,0,7,21:30:00
2020.09.29,13:30:00,23503,23503,23468,23478,212,0,7,20:30:00
2020.09.29,14:00:00,23478,23523,23478,23508,198,0,7,21:00:00
2020.09.29,14:30:00,23511,23513,23488,23488,189,0,7,21:30:00
2020.09.30,13:30:00,23211,23258,23211,23233,309,0,7,20:30:00
2020.09.30,14:00:00,23233,23252,23218,23248,434,0,7,21:00:00
2020.09.30,14:30:00,23248,23248,23228,23238,274,0,7,21:30:00
2020.10.01,13:30:00,23322,23337,23313,23327,180,0,4,20:30:00
2020.10.01,14:00:00,23327,23362,23322,23347,188,0,3,21:00:00
2020.10.01,14:30:00,23347,23362,23342,23347,161,0,3,21:30:00
2020.10.02,13:30:00,23008,23027,23007,23017,194,0,4,20:30:00
2020.10.02,14:00:00,23017,23028,23002,23012,187,0,3,21:00:00
2020.10.02,14:30:00,23012,23017,22992,23002,222,0,4,21:30:00
2020.10.05,13:30:00,23297,23302,23288,23302,159,0,4,20:30:00
2020.10.05,14:00:00,23302,23322,23302,23302,110,0,3,21:00:00
2020.10.05,14:30:00,23302,23312,23297,23297,126,0,4,21:30:00
2020.10.06,13:30:00,23352,23362,23337,23357,191,0,3,20:30:00
2020.10.06,14:00:00,23352,23387,23352,23382,167,0,3,21:00:00
