DATE,TIME,OPEN,HIGH,LOW,CLOSE,TICKVOL,VOL,SPREAD,plus_7_tokyoTime
2020.09.23,14:30:00,3322.2,3326.7,3318.4,3319.2,448,0,1,21:30:00
2020.09.23,15:00:00,3319.2,3320.2,3316.4,3319.9,586,0,6,22:00:00
2020.09.23,15:30:00,3319.9,3322.2,3314.4,3316.7,511,0,6,22:30:00
2020.09.23,16:00:00,3316.7,3319.9,3315.6,3319.4,365,0,6,23:00:00
2020.09.24,13:30:00,3243.0,3245.8,3240.5,3242.5,697,0,6,20:30:00
2020.09.24,14:00:00,3242.4,3243.5,3235.5,3238.5,705,0,6,21:00:00
2020.09.24,14:30:00,3238.5,3239.5,3228.0,3229.5,774,0,6,21:30:00
2020.09.24,15:00:00,3229.8,3232.3,3222.0,3228.3,1261,0,6,22:00:00
2020.09.24,15:30:00,3228.3,3228.3,3211.3,3216.5,1314,0,6,22:30:00
2020.09.24,16:00:00,3216.5,3223.0,3209.5,3221.3,1040,0,6,23:00:00
2020.09.25,13:30:00,3230.3,3233.8,3220.3,3222.0,1014,0,6,20:30:00
2020.09.25,14:00:00,3222.0,3229.0,3216.3,3225.5,1405,0,6,21:00:00
2020.09.25,14:30:00,3225.5,3237.5,3221.0,3236.5,1257,0,6,21:30:00
2020.09.25,15:00:00,3236.3,3240.3,3233.3,3237.4,1420,0,6,22:00:00
2020.09.25,15:30:00,3237.4,3241.3,3232.0,3240.0,1145,0,6,22:30:00
2020.09.25,16:00:00,3240.0,3243.0,3235.0,3235.5,849,0,6,23:00:00
2020.09.28,13:30:00,3339.7,3342.7,3338.2,3339.9,704,0,6,20:30:00
2020.09.28,14:00:00,3339.9,3341.4,3336.2,3337.4,690,0,6,21:00:00
2020.09.28,14:30:00,3337.4,3341.9,3337.4,3341.4,365,0,6,21:30:00
2020.09.28,15:00:00,3341.4,3346.4,3340.2,3344.4,579,0,6,22:00:00
2020.09.28,15:30:00,3344.2,3345.9,3342.7,3343.7,385,0,6,22:30:00
2020.09.28,16:00:00,3343.7,3344.7,3339.9,3342.4,400,0,6,23:00:00
2020.09.29,13:30:00,3356.5,3356.8,3351.0,3352.9,383,0,6,20:30:00
2020.09.29,14:00:00,3353.0,3357.8,3352.8,3353.5,391,0,6,21:00:00
2020.09.29,14:30:00,3353.2,3353.7,3349.3,3350.0,440,0,6,21:30:00
2020.09.29,15:00:00,3350.0,3351.5,3346.3,3351.5,479,0,6,22:00:00
2020.09.29,15:30:00,3351.7,3353.8,3349.9,3352.5,301,0,6,22:30:00
2020.09.29,16:00:00,3352.5,3353.5,3348.5,3350.0,263,0,6,23:00:00
2020.09.30,13:30:00,3319.9,3334.9,3319.9,3326.9,942,0,1,20:30:00
2020.09.30,14:00:00,3327.2,3330.7,3323.9,3328.4,859,0,1,21:00:00
2020.09.30,14:30:00,3328.4,3328.9,3321.7,3322.9,714,0,6,21:30:00
2020.09.30,15:00:00,3322.8,3332.4,3319.9,3332.1,1150,0,6,22:00:00
2020.09.30,15:30:00,3331.8,3341.9,3330.7,3338.2,944,0,6,22:30:00
2020.09.30,16:00:00,3338.2,3345.2,3337.6,3340.7,670,0,6,23:00:00
2020.10.01,13:30:00,3391.6,3391.6,3387.4,3389.9,619,0,6,20:30:00
2020.10.01,14:00:00,3390.0,3394.1,3388.6,3392.0,829,0,6,21:00:00
2020.10.01,14:30:00,3391.9,3396.5,3390.6,3394.4,690,0,6,21:30:00
2020.10.01,15:00:00,3394.6,3395.4,3386.1,3390.3,878,0,6,22:00:00
2020.10.01,15:30:00,3390.1,3393.4,3385.1,3385.6,1288,0,6,22:30:00
2020.10.01,16:00:00,3385.6,3388.9,3380.9,3385.8,913,0,6,23:00:00
2020.10.02,13:30:00,3323.0,3332.0,3321.7,3330.2,727,0,6,20:30:00
2020.10.02,14:00:00,3330.0,3333.7,3322.0,3324.5,704,0,6,21:00:00
2020.10.02,14:30:00,3324.5,3327.5,3320.0,3322.5,919,0,6,21:30:00
2020.10.02,15:00:00,3322.5,3338.7,3321.4,3335.4,998,0,6,22:00:00
2020.10.02,15:30:00,3335.4,3335.6,3317.5,3324.0,1536,0,6,22:30:00
2020.10.02,16:00:00,3323.7,3326.7,3314.7,3325.2,1292,0,3,23:00:00
2020.10.05,13:30:00,3366.8,3372.6,3366.6,3372.3,352,0,6,20:30:00
2020.10.05,14:00:00,3372.3,3375.6,3369.6,3370.3,406,0,6,21:00:00
2020.10.05,14:30:00,3370.3,3374.1,3370.1,3370.1,401,0,6,21:30:00
2020.10.05,15:00:00,3370.3,3371.3,3367.1,3369.1,610,0,6,22:00:00
2020.10.05,15:30:00,3369.1,3371.1,3368.0,3370.1,628,0,6,22:30:00
2020.10.05,16:00:00,3370.1,3372.6,3369.3,3369.8,382,0,6,23:00:00
2020.10.06,13:30:00,3396.4,3397.1,3392.1,3395.6,780,0,6,20:30:00
2020.10.06,14:00:00,3395.4,3401.9,3394.4,3401.4,633,0,6,21:00:00
2020.10.06,14:30:00,3401.4,3405.1,3401.1,3403.9,664,0,6,21:30:00
2020.10.06,15:00:00,3403.9,3408.4,3401.9,3406.4,454,0,6,22:00:00
2020.10.06,15:30:00,3406.3,3411.6,3405.6,3408.6,565,0,6,22:30:00
2020.10.06,16:00:00,3408.6,3410.4,3408.1,3408.9,355,0,6,23:00:00
2020.10.07,13:30:00,3378.9,3384.9,3376.2,3384.2,596,0,6,20:30:00
2020.10.07,14:00:00,3384.4,3385.4,3381.2,3383.2,454,0,6,21:00:00
2020.10.07,14:30:00,3382.9,3388.2,3380.9,3387.4,434,0,6,21:30:00
2020.10.07,15:00:00,3387.2,3391.7,3385.7,3388.7,648,0,6,22:00:00
2020.10.07,15:30:00,3388.4,3394.2,3387.7,3389.2,832,0,6,22:30:00
2020.10.07,16:00:00,3389.1,3391.2,3386.4,3390.9,574,0,6,23:00:00
2020.10.08,13:30:00,3429.7,3438.5,3428.2,3428.5,618,0,6,20:30:00
2020.10.08,14:00:00,3428.2,3431.0,3427.5,3430.2,405,0,6,21:00:00
2020.10.08,14:30:00,3430.2,3431.0,3426.1,3430.2,464,0,6,21:30:00
2020.10.08,15:00:00,3430.5,3439.3,3429.0,3437.4,920,0,6,22:00:00
2020.10.08,15:30:00,3437.4,3437.6,3432.2,3436.2,647,0,6,22:30:00
2020.10.08,16:00:00,3436.2,3438.6,3434.7,3436.7,253,0,6,23:00:00
2020.10.09,13:30:00,3461.4,3462.3,3455.8,3456.2,314,0,6,20:30:00
2020.10.09,14:00:00,3456.2,3462.9,3455.4,3462.2,210,0,6,21:00:00
2020.10.09,14:30:00,3462.2,3463.4,3460.7,3461.2,150,0,6,21:30:00
2020.10.09,15:00:00,3461.2,3464.7,3460.4,3462.4,369,0,6,22:00:00
2020.10.09,15:30:00,3462.4,3468.1,3461.7,3466.9,468,0,6,22:30:00
2020.10.09,16:00:00,3466.8,3467.9,3464.4,3464.7,283,0,6,23:00:00
